A_A,C_B
39,89961
88,38859
98,68495
102,84494
103,1469
116,16392
117,65236
138,48072
139,21931
149,58148
190,23799
198,50943
199,33046
209,80767
218,99795
252,58353
260,8230
270,38636
293,30406
298,92309
308,99599
389,92681
391,26236
396,50650
399,95407
403,79431
407,76805
410,88204
421,48750
441,27256
452,51516
474,63346
475,32754
518,4695
542,43950
554,77031
555,92291
561,36901
562,2174
570,64574
573,5313
578,29056
595,97167
598,96441
600,56534
601,40442
604,26794
607,14179
616,35271
617,49954
628,26774
645,46371
683,60531
685,12580
702,83474
706,77743
718,97305
725,54057
736,1872
748,78018
752,59231
762,51904
767,89188
768,28382
774,40407
778,99362
794,1995
798,22797
868,54811
879,36919
884,88267
891,64685
892,25926
915,83534
919,21104
926,96042
948,22807
957,99319
962,28116
971,62512
984,40309
989,80259
991,20559
1004,28452
1019,97893
1034,65233
1040,72945
1067,54856
1081,22785
1090,45467
1094,21792
1101,22406
1132,93007
1136,87200
1141,82248
1142,85048
1150,14259
1186,76295
1189,83167
1196,89582
1200,98281
1204,52346
1207,35326
1209,11713
1212,26422
1213,55226
1221,50245
1227,96478
1248,48883
1256,82196
1260,70327
1273,52557
1292,91782
1296,95497
1304,17409
1311,14865
1316,87391
1323,48965
1330,61035
1335,33282
1349,96768
1381,70033
1386,72424
1410,67987
1421,4236
1433,64379
1436,78386
1443,23685
1447,15275
1449,12614
1492,2381
1498,68187
1523,78498
1525,28856
1544,61547
1554,47165
1569,95519
1570,50511
1595,93850
1609,93436
1613,99596
1635,90044
1638,12893
1641,79454
1642,88859
1655,94025
1658,518
1665,37098
1669,23458
1670,53828
1678,28601
1690,24839
1729,74032
1743,73971
1755,38953
1757,27948
1762,46297
1768,89648
1771,41596
1776,58921
1788,30528
1804,64797
1805,18013
1815,39171
1821,57653
1835,20676
1839,47125
1850,34825
1851,29652
1869,34213
1896,20438
1899,7567
1907,90188
1922,70141
1925,64123
1942,68539
1943,32229
1946,82970
1953,85736
1968,18009
1976,50100
1991,38803
2002,77514
2010,34350
2015,88413
2019,7212
2027,49962
2028,42692
2035,68525
2057,18701
2075,87779
2088,45339
2104,48219
2118,86011
2125,9151
2160,93588
2168,58975
2183,95946
2210,68796
2214,12333
2221,31480
2222,39886
2224,93889
2225,69692
2228,40293
2229,74763
2232,61176
2238,96767
2241,58506
2247,66063
2258,41658
2266,6294
2271,47548
2290,41719
2298,12096
2307,24089
2316,47355
2321,51159
2322,7176
2366,64709
2392,2041
2393,73260
2413,14691
2432,89285
2448,20738
2456,46028
2462,20919
2469,30216
2478,4038
2485,71903
2491,59321
2495,45007
2496,77629
2515,36075
2538,88312
2561,77637
2565,93912
2581,96277
2582,29687
2588,36258
2609,17930
2620,13008
2624,71216
2632,17830
2637,61801
2639,54958
2655,18950
2665,24981
2673,6728
2696,60323
2702,57777
2726,91407
2732,33448
2751,83940
2765,48151
2768,40836
2771,95914
2792,85637
2797,78637
2818,10892
2834,21169
2849,10952
2852,21296
2871,77445
2874,19028
2880,90472
2881,16692
2889,79079
2890,30445
2897,69498
2899,77805
2903,50841
2904,69052
2908,95018
2909,73193
2920,67518
2946,90628
2953,28119
2962,5008
2984,33261
2985,23591
3013,66355
3023,60275
3032,41509
3034,26606
3047,86565
3055,51331
3058,52148
3063,8996
3066,69042
3083,89212
3094,92994
3107,85317
3115,81689
3124,41633
3141,24437
3173,22445
3183,42980
3184,87245
3186,10080
3188,55053
3194,67451
3197,77373
3199,25458
3213,66435
3221,18913
3242,98425
3248,18969
3250,54951
3251,5315
3265,78735
3266,37337
3268,11836
3275,58930
3276,13501
3289,91689
3316,8434
3333,4790
3337,16798
3340,38422
3369,58023
3372,91759
3408,4654
3410,47852
3432,74348
3453,2879
3455,45022
3471,9287
3477,54182
3482,81204
3485,87798
3497,3943
3503,88869
3517,12513
3556,66614
3581,52204
3597,24996
3601,18514
3605,21784
3626,83295
3629,69789
3631,61482
3634,60489
3641,94907
3651,58472
3662,20209
3666,95711
3680,10623
3692,48116
3700,95737
3712,56200
3737,64961
3740,64755
3745,75550
3747,7606
3770,6134
3796,42205
3799,76932
3809,38779
3815,21272
3825,76530
3831,28338
3845,36267
3855,3653
3864,17157
3867,67345
3869,89906
3870,91
3881,65322
3886,6501
3892,67396
3895,64505
3910,16348
3923,90441
3927,67352
3937,49300
3951,60557
3972,49198
3973,88781
3974,30078
3985,70551
3990,84204
3991,85098
4000,62273
4035,49941
4037,74762
4047,67785
4051,81649
4059,48373
4073,35226
4079,79342
4103,73278
4106,71783
4110,21240
4140,92404
4142,8508
4149,52774
4159,21421
4174,60506
4181,36668
4190,29402
4193,50626
4198,59362
4209,53494
4239,22012
4242,80900
4257,38977
4264,64219
4268,21209
4275,56214
4285,72317
4291,30718
4299,92921
4324,86365
4365,36543
4369,34015
4379,87232
4382,80943
4391,90910
4411,93515
4424,75257
4443,95123
4444,55296
4459,98340
4466,65448
4479,24563
4501,83089
4513,33695
4521,54044
4530,84545
4534,56232
4539,45261
4545,50911
4550,749
4553,93869
4560,38234
4563,75814
4575,76935
4582,96709
4584,94793
4590,80497
4592,22343
4595,23878
4601,51937
4629,993
4631,56578
4651,25836
4654,50057
4664,24465
4676,29795
4682,11979
4684,52620
4692,71586
4694,36807
4700,83061
4722,75149
4723,60033
4724,14553
4730,41133
4735,61091
4761,37745
4780,86735
4787,95204
4789,31731
4816,83668
4818,45960
4826,83347
4847,12126
4848,57058
4856,66341
4878,61095
4886,9816
4890,99454
4899,15479
4924,89561
4925,51924
4927,21505
