B_C,H_C
6,68516
11,76754
13,96801
21,51407
28,80172
35,64690
54,60329
58,25334
95,2137
97,93127
118,10260
120,19771
139,85647
143,26663
147,16496
152,80133
153,55352
159,24119
161,6138
166,72196
174,40676
178,87567
197,30553
224,8370
231,12391
269,74724
278,98934
279,59410
282,74715
293,6647
300,94745
303,71635
317,3340
321,44081
322,4144
324,23854
325,43525
328,24728
332,54361
334,61928
337,42917
353,34948
376,42477
395,34268
407,14485
415,23363
469,70939
474,33983
482,78246
489,36741
499,86016
512,3477
529,23672
558,50558
560,63657
572,87904
575,62313
576,97
585,82936
587,54145
604,17470
627,35737
628,77195
638,74773
657,85686
663,88907
664,22211
665,52363
710,27401
717,29958
721,3885
725,82946
727,98325
739,67290
744,25501
760,1346
768,12959
778,38568
784,19360
790,69663
852,80490
855,42980
861,85522
862,42225
887,28723
901,501
917,30782
925,78192
951,24255
978,56936
992,81637
995,32485
998,74302
1012,68684
1024,5316
1040,31501
1055,10293
1063,96655
1073,61466
1075,60785
1093,13811
1102,94869
1142,4919
1145,33719
1152,69416
1163,45857
1175,97748
1188,19641
1194,42424
1202,82061
1209,28916
1212,51659
1223,71441
1231,40550
1234,2361
1238,4682
1299,25087
1324,95636
1337,82202
1340,97239
1350,44500
1352,93336
1370,56222
1373,61615
1376,84544
1391,92862
1401,61453
1419,81135
1425,77980
1437,52577
1443,91968
1453,41320
1475,17609
1494,50373
1497,69572
1499,43229
1515,78826
1516,43677
1538,86752
1555,93849
1559,29718
1584,94237
1605,55125
1609,93753
1614,10218
1624,1987
1646,90984
1657,97576
1662,55411
1668,68001
1673,59707
1674,13671
1720,45156
1721,40772
1740,57475
1756,74672
1764,24890
1765,73790
1785,96975
1804,89558
1806,60074
1810,45865
1815,1749
1821,70422
1827,12306
1872,43992
1877,70041
1893,87650
1906,78232
1908,94547
1923,71537
1937,62786
1939,7892
1944,54131
1951,45529
1967,41687
1971,34836
1991,24056
1993,34971
2004,31113
2011,5387
2020,66349
2036,49065
2038,19914
2051,34963
2072,95152
2078,71234
2081,89939
2128,4875
2133,10443
2141,74806
2142,47769
2165,7110
2172,61458
2190,44639
2221,16417
2228,15280
2271,33817
2288,75329
2369,10026
2370,41428
2390,65976
2392,9512
2424,61725
2430,31142
2436,8075
2446,32080
2450,63588
2461,38601
2482,22196
2489,74348
2493,5120
2504,73533
2526,33322
2534,63843
2547,32427
2551,47967
2557,60918
2562,45362
2612,38447
2614,58183
2619,97639
