E_A,B_D
22,71233
25,81690
34,51110
36,75827
37,13387
48,38389
50,57197
58,38233
86,4081
91,7313
108,87536
117,86135
123,71587
151,121571
152,58403
182,19486
190,17045
195,16032
207,12405
229,47929
236,71061
242,15869
260,8071
290,11150
306,37497
320,93957
340,33730
355,58226
377,97522
384,86433
385,6298
402,78021
407,29517
415,21822
416,27788
432,91799
441,78580
445,4633
447,76361
450,72818
493,60177
496,22938
520,39643
522,49748
523,11785
527,72179
530,49388
542,4491
552,27361
554,77999
557,21427
567,69540
577,71008
579,33565
581,10252
586,92162
593,23251
602,7071
605,15016
614,98847
624,17452
627,9416
633,42277
635,93567
647,22097
648,22012
675,62133
688,64078
692,94732
700,86045
702,79274
717,69865
737,14203
739,11923
767,12563
794,60387
804,35271
805,991
816,76443
828,16653
829,64227
840,320
841,19337
843,31501
850,142507
855,91719
861,22702
862,33603
914,8436
925,95635
926,43547
928,35621
939,1345
948,24862
979,91994
980,17297
1013,14440
1015,48291
1017,4988
1028,95636
1035,15422
1057,27915
1070,3023
1078,34744
1085,55275
1087,85311
1099,80637
1102,13624
1120,54083
1126,94978
1127,51173
1131,26127
1142,65316
1169,25960
1202,31972
1215,47793
1241,2738
1244,1294
1248,84968
1251,9585
1255,39520
1270,49782
1297,63160
1309,87137
1310,38946
1323,60268
1324,56021
1332,49203
1370,67354
1374,33252
1382,8801
1389,28757
1403,84820
1425,71575
1438,66885
1440,25712
1443,76141
1447,105737
1452,2184
1458,7630
1479,48323
1484,16214
1495,39053
1524,47093
1528,13641
1551,80744
1556,74899
1565,13786
1574,81715
1579,69473
1581,25885
1585,98115
1601,80267
1606,92998
1608,82226
1609,91256
1613,80288
1619,21037
1622,9764
1648,7287
1649,26471
1677,90008
1700,66556
1701,39845
1711,36372
1714,29215
1727,90988
1732,58132
1753,29695
1761,90850
1770,1884
1781,49755
1783,46524
1813,70158
1826,90326
1846,50675
1855,88809
1857,86524
1869,5683
1877,582
1885,17874
1886,120280
1895,7019
1900,155534
1909,14895
1924,18496
1928,41238
1934,13621
1946,88838
1949,69381
1956,47654
1978,676
2005,84215
2016,64455
2022,97240
2039,71826
2043,26695
2059,76279
2089,89321
2095,26333
2108,44209
2109,9222
2112,40668
2133,60520
2165,21685
2173,6144
2186,69354
2189,41150
2191,139590
2192,7033
2201,15350
2205,65113
2208,70267
2213,82905
2226,26519
2228,32341
2229,68181
2236,50037
2239,76143
2241,74608
2242,97259
2244,77066
2247,53879
2252,33208
2270,95606
2282,87467
2283,99997
2287,94523
2298,96248
2316,54510
2323,29373
2331,43295
2337,17655
2342,167690
2348,16619
2351,58245
2364,84642
2372,85539
2382,93439
2392,46942
2404,14715
2412,13912
2432,71933
2441,30539
2458,35955
2467,22414
2477,41998
2481,34629
2482,28015
2494,39704
2506,80136
2510,23135
2524,69638
2525,45923
2533,19879
2534,80351
2566,15342
2577,35026
2603,87411
2617,69071
2618,43059
2621,71174
2623,54865
2624,90719
2628,18990
2638,81158
2644,46297
2695,28723
2702,43905
2703,94263
2713,60984
2737,82148
2738,59775
2762,88956
2771,89525
2774,93928
2775,18907
2809,84944
2811,12244
2831,95586
2842,4136
2846,67818
2854,23374
2857,38903
2860,139878
2894,94317
2920,30727
2926,56997
2941,30740
2944,16475
2945,55755
2947,21377
2976,58317
2980,87489
2992,4190
2995,8544
3032,55818
3034,39517
3062,62525
3066,19308
3068,1088
3071,15647
3072,63812
3075,3792
3083,52467
3107,19597
3112,48423
3113,58136
3126,88389
3149,73750
3155,65667
3173,159383
3180,31986
3183,27177
3195,88265
3212,49947
3218,91491
3245,5850
3249,54902
3263,22040
3272,6506
3273,77070
3301,70785
3302,60654
3323,48181
3346,80525
3348,37866
3352,50469
3358,80150
3384,47449
3386,76097
3396,72999
3401,75869
3406,41353
3426,39871
3429,48837
3437,32096
3464,89807
3471,9354
3474,93516
3484,80305
3487,65143
3493,28478
3500,56355
3504,27035
3512,69945
3513,36791
3526,21265
3546,19800
3550,96857
3555,11262
3567,76513
3568,41900
3569,14200
3577,46675
3594,8525
3604,33218
3609,2789
3651,89092
3681,75705
3683,99603
3688,88764
3692,46688
3707,52173
3714,97347
3715,80037
3723,43050
3728,12295
3729,86909
3730,4730
3735,66781
3736,75428
3746,40386
3753,73564
3768,72372
3782,75111
3785,99863
3797,76474
3798,15440
3825,8115
3838,42136
3854,63237
3855,11808
3877,35810
3879,53881
3880,21624
3906,3052
3912,24733
3927,95121
3946,52582
3957,15325
3965,49380
3970,65704
3977,45649
3981,83640
3983,3140
4024,28900
4042,11567
4049,2587
4056,4832
4059,55559
4060,65076
4073,12964
4075,46418
4106,91230
4111,92784
4118,84739
4132,70426
4149,95621
4152,21426
4170,77622
4176,7729
4184,46179
4192,65378
4233,77766
4236,69342
4271,74145
4281,92771
4282,70488
4289,12396
4291,80784
4299,79151
4326,63375
4331,85712
4353,30070
4362,42045
4367,81641
4373,114435
4381,64560
4386,31708
4421,83950
4425,52052
4426,75252
4438,92720
4452,99887
4468,89047
4471,28384
4474,35684
4487,5151
4489,1777
4490,34435
4494,11297
4496,47709
4500,42309
4515,24369
4532,90724
4537,11157
4541,24972
4544,69636
4577,64970
4584,68370
4597,28674
4619,183270
4652,92024
4655,14693
4660,70556
4703,96456
4712,80956
4716,86565
4723,15419
4758,27827
4782,76917
4792,64059
4803,97458
4811,31756
4820,55650
4824,15256
4841,75790
4843,62231
4844,61210
4849,34922
4854,75406
4857,3432
4859,38829
4872,59314
4875,15891
4876,66457
4912,41497
4915,21508
4978,95572
4997,12906
5009,81763
5024,31497
5044,25189
5054,130147
5068,80327
5069,52179
5070,89160
5074,37908
5077,21366
5078,12286
5108,56362
5121,6095
5131,63040
5150,24014
5156,21623
5159,70427
5180,25546
5190,79776
5197,74529
5212,52904
5230,91859
5241,35894
5249,12834
5253,80025
5263,79041
5266,92882
5287,75674
5305,30602
5310,28485
5322,7413
5337,9529
5342,72258
5350,43100
5352,45117
5355,85323
5373,63432
5386,76623
5388,88498
5398,32202
5405,90566
5462,83864
5464,7904
5482,41663
5495,85355
5497,82065
5500,16739
5504,82428
5507,68947
5531,54899
5545,72879
5548,68702
5552,24288
5553,52048
5563,79696
5597,11621
5601,58791
5607,57552
5620,75988
5621,78066
5633,40063
5658,83130
5663,2929
5674,58534
5686,23164
5698,51488
5699,56808
5718,79257
5725,55693
5741,24205
5748,83763
5750,96701
5752,44081
5759,29432
5765,96022
5766,32395
5773,62064
5785,52980
5798,37322
5807,76364
5813,24483
5837,88663
5838,54611
5844,38986
5847,57391
5861,91555
5872,23873
5873,69088
5874,3954
5899,38309
5907,90052
5910,6015
5941,39352
5948,39631
5963,34297
5968,65504
5983,49468
6000,51528
6004,42063
6012,76526
6021,43977
6045,14305
6047,57512
6062,57140
6066,78673
6068,16877
6071,86520
6075,32611
6085,55359
6092,44716
6107,85428
6121,36612
6128,67640
6133,50223
6137,33941
6173,20634
6216,53578
6235,28620
6258,76118
6281,96119
6285,74588
6321,74603
6326,89686
6333,40985
6335,43717
6344,6640
6351,2430
6360,44578
6367,87950
6393,43897
6406,55449
6431,44203
6465,3007
6470,42270
6473,53231
6475,59773
6500,41536
6510,30183
6527,89910
6536,73908
6547,23199
6550,77991
6582,66655
6598,23191
6600,64328
6608,62971
6619,64188
6623,63745
6630,97392
6655,96829
6657,26371
6676,62086
6691,9705
6692,6242
6700,3708
6724,97472
6729,53763
6736,76325
6743,47266
6744,42441
6745,4970
6756,39822
6758,75710
6766,75957
6785,41114
6797,43324
6817,91862
6822,29911
6826,71157
6852,9689
6858,77195
6872,143682
6877,18810
6883,72790
6885,96530
6902,17906
6921,64532
6925,87345
6941,88828
6950,860
6956,86123
6957,83062
6963,1389
6967,21938
6974,6089
6982,35130
6989,17614
7002,42216
7010,99722
7018,105788
7064,79485
7069,7500
7077,75715
7084,106601
7086,13205
7089,89103
7100,17535
7111,9671
7121,10961
7141,47076
7148,78143
7155,8540
7161,16696
7179,95797
7182,3635
7194,76874
7208,27321
7217,99110
7229,47222
7230,56010
7231,53772
7252,31538
7262,57323
7271,73782
7277,58274
7279,21530
7284,66590
7305,94658
7324,83368
7331,37826
7350,2022
7370,92499
7387,19452
7399,37983
7411,98830
7414,92678
7417,23847
7419,73243
7425,32218
7440,78125
7441,23898
7470,1680
7471,57521
7476,14565
7483,98867
7489,53678
7493,9754
7514,49197
7519,40462
7522,73477
7537,82702
7540,67241
7544,19115
7550,7516
7553,62471
7562,92296
7574,8459
7581,75112
7582,23435
7583,92239
7597,93429
7617,39252
7619,75762
7623,49340
7625,88935
7630,55063
7638,70146
7646,3437
7651,11731
7654,48890
7677,15028
7678,67042
7682,11728
7684,185816
7693,50511
7728,38769
7731,23544
7733,90410
7738,30340
7767,80771
7781,41609
7809,86066
7822,90079
7837,19323
7844,33184
7856,72107
7862,8355
7863,77043
7869,95629
7873,67716
7903,25417
7904,687
7930,42168
7934,55350
7949,24749
7957,20673
7958,99361
7961,37829
7984,92115
7992,48554
7997,56060
7999,82375
8008,37992
8020,53141
8025,58204
8033,24909
8042,46018
8048,93977
8062,36038
8085,99047
8098,71584
8103,11939
8147,92013
8178,68795
8182,84958
8187,88996
8193,88234
8196,87106
8210,46313
8224,57691
8229,79255
8230,4799
8250,45183
8254,97339
8262,60553
8293,23588
8328,29939
8336,8098
8351,53948
8365,48629
8368,79812
8371,26643
8373,22268
8391,11569
8398,76453
8402,72717
8406,44524
8428,81990
8430,7533
8432,9672
8441,78828
8453,88941
8456,31598
8458,32554
8464,28969
8466,13384
8475,33674
8476,87895
8506,12833
8518,36180
8539,56263
8550,27288
8560,6855
8573,91640
8575,4158
8577,68326
8592,70358
8595,40471
8607,84355
8678,41946
8688,99737
8692,25560
8695,62660
8713,96311
8725,57730
8728,31733
8730,12120
8732,6683
8739,49372
8751,10121
8788,39573
8815,47821
8819,56077
8825,40301
8838,6965
8872,80053
8883,43470
8908,16645
8909,90629
8921,49692
8922,99234
8941,91776
8952,90163
8962,60180
8969,10025
8987,64225
8989,35286
9009,55505
9017,78190
9030,134392
9043,78572
9047,81253
9051,8221
9064,50790
9066,50959
9068,19377
9088,7921
9118,89489
9160,83296
9183,45306
9191,62313
9237,42566
9245,89730
9246,43827
9262,64161
9285,31804
9300,61132
9306,28334
9309,84426
9336,25736
9354,1983
9368,8981
9398,90271
9407,30600
9409,7861
9442,31024
9478,68909
9499,95021
9501,14748
9503,81873
9505,3063
9512,32990
9513,32800
9544,31746
9558,74548
9566,61103
9584,69804
9590,29064
9594,7848
9595,54606
9601,11874
9611,40911
9621,11469
9631,66980
9637,31494
9652,59850
9659,19765
9678,10399
9684,58690
9687,36465
9705,96270
9731,41486
9736,19695
9758,80722
9775,33118
9786,82077
9787,51315
9793,96281
9798,72637
9813,83867
9823,32040
9832,24122
9851,68445
9854,73982
9855,38880
9864,80653
9865,78266
9872,95494
9884,75387
9911,25154
9926,52207
9927,80405
9929,21944
9930,31638
9932,41379
9934,45115
9935,38991
9936,126391
9943,111120
9945,91954
9950,12010
9971,67202
9979,2611
9980,87077
10015,64327
10019,80619
10020,21126
10029,25810
10038,19599
10040,86090
10048,124918
10055,33627
10058,63555
10066,247558
10083,7069
10088,34789
10089,29841
10092,25215
10126,22734
10128,87855
10136,75395
10149,28911
10155,9992
10168,30372
10175,50357
10178,69020
10182,33151
10190,65574
10191,79292
10198,22010
10200,64533
10206,11405
10207,79503
10216,18221
10253,81763
10255,85981
