A_A,B_A,C_A,D_A,E_A,F_A,G_A,H_A,I_A,A_B,B_B,C_B,D_B,E_B,F_B,G_B,H_B,I_B,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,I_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D,I_D
72264,29130,86685,5303,66536,95538,53602,76453,4820,16200,57772,44490,36219,67104,57425,51826,51501,35187,16011,79276,31409,58900,54723,63451,95571,64193,44290,99556,96257,39869,10969,14031,72994,27726,64394,52884
75397,51252,86893,85799,14382,93463,88873,22868,67529,34260,78817,52775,70087,91139,28069,1041,10341,12952,95420,96238,57679,13520,26614,41386,79789,11708,92574,66732,48413,62891,63587,31281,86275,68986,75654,99970
95712,11673,91331,17519,92131,38533,7761,69453,21610,44803,77921,28877,68672,92034,6573,45657,9504,59700,3084,86791,3810,17627,84355,23646,66770,27369,54886,99077,21155,56663,80984,66595,98816,69644,94994,17047
32257,7310,8585,72325,22806,42973,71118,93673,63387,60618,39143,99527,44714,15623,60332,88287,53362,53927,2286,38074,48837,98469,8016,63404,97360,14145,58951,42442,80085,40722,67886,47255,93629,93215,18638,41472
37568,77281,29050,56686,51189,9847,12476,83657,71028,59715,35177,99620,32928,39639,88240,37599,1958,32484,4016,4043,37399,97749,35019,5879,96536,88239,54956,11802,49519,66343,73539,74334,91332,5586,31294,74486
37314,79218,90571,72167,81717,83042,60221,56935,61374,18908,56719,41282,28372,63390,29363,29856,38718,49117,87990,90245,9733,34368,64283,18022,79769,74364,58902,17220,4219,97896,26903,85717,27319,38309,23051,2028
17987,86414,84161,61547,62571,16669,85828,52658,60511,63725,17684,80656,34831,66749,52456,17239,82903,10777,23655,53540,42523,30258,27949,44218,65498,15374,78333,1347,12144,57756,6655,21843,17166,52681,32459,47707
891,82042,3674,73038,79855,19073,50202,57476,83426,78965,49272,64685,96116,7826,96237,54508,34262,20783,12367,93315,48385,98532,70337,69111,60036,48747,56662,61473,39413,93879,53251,21720,10958,91186,88347,28725
6664,7942,50798,94610,9851,22622,58905,64735,7885,28682,3309,94508,98973,93139,31846,91920,66503,81856,93740,12303,1656,23204,43585,5289,51534,95459,91696,75016,68445,18123,12017,34265,34503,58982,5435,30888
74318,116,42248,75414,54786,60907,58219,19464,89056,39963,16878,27040,37659,14880,84107,57610,38617,10670,2015,79779,74658,94649,94687,88589,59985,67664,10389,45060,10721,85327,21878,93291,90918,6434,232,67186
53762,74605,16058,98337,44412,3699,73443,10587,31026,84676,50082,40071,54160,9272,91474,4684,86247,38202,86611,49763,64267,18292,57144,13505,66301,41667,73119,73008,42759,66630,20982,3711,64641,28471,75060,50843
45279,72848,52194,95676,89317,27836,84203,12833,69649,76805,6295,90823,81623,21092,30993,73974,54225,83895,61587,30977,21408,26835,28922,55910,16043,77514,73245,18799,30762,87945,88171,11151,12916,42373,53,72839
12009,23918,8124,15628,5044,99528,87867,74295,84705,8443,4852,15801,13605,90590,43363,94503,96862,41089,73889,94672,25558,10609,98152,85044,46013,89108,59523,50862,25189,41890,47769,88727,71528,36939,50170,78530
18681,53580,16564,91499,29875,54832,9932,92907,14522,28022,51692,6988,83,49701,80374,12521,16899,91265,70362,45107,39114,68265,89333,1805,92813,36016,25218,43720,31036,59938,7142,2442,2965,55024,60085,68184
51924,63438,61211,88842,75102,88303,11914,37748,72021,79573,12088,90136,45648,37731,84822,8775,30086,31937,43021,33930,75651,48007,58058,3288,69768,73187,77858,70544,17586,54542,24530,63477,11292,53102,19941,10517
79004,78502,62681,34553,72073,38507,90221,8906,81807,88329,15024,90354,43856,69894,82033,6053,54800,5757,72478,4817,60000,12918,66125,69962,87517,24993,40105,79357,25840,47128,75239,90960,52189,53747,70810,86809
39791,67693,74511,95911,5686,77136,59061,44554,67624,26730,3523,59959,67279,1877,15271,84739,20119,50924,62723,86731,49574,12410,82270,56569,40600,48064,37748,36038,15703,67504,23342,20329,17955,47527,9584,50812
65072,45477,25932,83295,57157,55319,77082,85724,24346,24885,9024,5313,31460,75783,87555,62576,58561,95130,561,14659,52018,95184,75990,50525,49923,75734,82496,63008,41875,2625,37032,67085,6157,55672,88535,80950
66897,32067,37285,29448,85320,62522,97714,21914,44597,3979,52140,82165,93533,87504,88750,35196,46340,63912,78482,77565,54069,61954,68282,9976,79533,72940,8651,55026,20195,52612,13423,10321,25759,3085,83819,33391
91153,99929,2434,70627,99575,93577,21684,21501,38363,79196,73603,11185,66276,76422,56860,94410,72385,52960,68390,85468,49392,85122,49112,35618,97272,14870,15689,22746,78155,77958,52290,29573,55371,63201,92267,83019
59919,93092,31897,99586,47830,7096,75465,21061,6669,60075,72039,4054,98903,50371,93227,96842,52759,75669,81768,47423,52174,39548,53621,27994,55019,37719,63062,15060,46986,65706,86449,41803,22766,78015,23020,55163
17311,73676,12939,23794,8819,95035,4050,21989,84734,51065,79762,23198,71820,22722,95441,58887,39843,72803,20057,65408,58558,95413,54286,20641,90370,48830,50297,8894,56077,33395,96223,64235,78995,6310,25462,26001
66096,96978,34001,14081,92523,86533,50992,27949,40964,74878,26666,46134,65657,94052,49264,90685,7268,94663,54484,92069,11752,21127,847,48083,95563,96210,28468,99343,33499,28897,37254,27216,12975,41200,89402,89880
97215,52380,62589,73771,52495,87309,13353,94633,17183,4800,47366,25114,85498,67798,66191,51431,86011,32178,23620,23018,34266,29645,34335,52206,85670,10406,40559,52950,44363,93620,43301,4904,10380,20142,75493,17908
6608,38328,9688,98168,62078,7208,59214,35147,32847,28013,97583,46923,62689,11813,5457,45446,3330,58317,64615,64583,56397,40494,84582,92634,45807,34195,70028,60510,99951,84752,79690,55960,82899,82449,68772,63711
91545,1339,62248,4638,17153,48553,63204,89127,18561,87789,40103,5262,84873,43780,40435,98910,74777,93719,9039,88694,9383,57126,42745,72823,40848,33150,25435,77448,35430,22430,21178,92212,70036,84592,27473,57499
3990,25261,49057,60954,72315,24072,73816,97337,42231,1444,41497,84204,26872,48500,8098,99858,64596,65749,98235,46803,82540,40786,29732,95069,82433,68544,19671,73340,89429,1746,10964,63240,8006,7323,99157,83697
56548,48080,36332,7676,27275,39391,68289,19515,9053,82648,87494,86143,8008,67480,84193,52991,50925,66866,29,80218,17972,12695,60386,18700,42771,41842,96930,19844,52837,45581,82944,27933,63210,29660,15254,88380
2214,45217,72043,48801,49516,71494,13830,66326,95240,37802,34482,12333,59914,94807,20113,59412,76451,57979,21245,64935,33450,99696,36874,96069,83025,78464,66694,89979,10492,97173,47902,29841,8317,11844,51752,13752
63828,48208,76006,1124,89863,95866,72212,47899,72886,70061,28870,31657,99930,33407,94211,11466,3778,89358,35242,12346,95703,87762,64159,74574,70535,51815,61192,89977,94725,60444,57931,79863,69579,542,79311,24119
73941,66069,83394,84156,9513,89307,78765,7444,48118,5762,39327,47823,26118,20173,83206,518,52905,10890,28360,17954,28700,13383,12951,82585,60869,17095,44275,92084,32800,32756,7737,32689,78722,34265,18353,60127
7661,68163,72319,70762,76809,35231,80456,52390,25885,50216,54318,87605,59336,69297,13300,86598,95306,82478,70327,73178,96712,18051,87023,17579,45414,46456,41988,48327,66721,80064,14051,60985,57082,47329,38553,41247
41510,59562,77250,12414,75830,71372,25662,42506,34032,34740,25260,58861,85778,63386,39405,9062,14996,90344,13294,56450,75984,6110,66338,58441,63747,99527,88534,2296,78126,82689,28157,41619,11956,35949,43349,96208
7354,67709,67608,12488,96810,19803,23916,52953,50804,46608,20924,61586,42676,96701,932,17684,25616,78241,44026,64798,97536,84991,6375,59424,41049,76425,81594,16473,35018,7917,28632,46297,78991,25057,14632,78483
5696,25262,8774,81328,39317,75992,95311,85942,54166,12098,58169,19718,46718,26068,75858,9235,25444,38552,19494,3270,59534,54358,64168,24000,97072,78881,65158,38414,49045,68435,96111,4941,25820,79079,2061,48300
24426,58799,85732,20776,94884,84197,25143,13952,93341,48546,3491,59484,34239,13878,1208,92394,44515,39180,41479,78824,87735,95861,73431,42961,11493,82779,74520,77134,21586,28790,81683,43336,90005,62824,32754,87498
44560,99963,14969,32389,82384,12652,23257,5389,72021,8017,68553,46492,3122,33506,50000,94462,3627,11838,86116,98517,2037,53802,92399,79210,58445,93501,11361,44450,91053,38385,83225,95501,187,6008,18871,41968
47205,75591,23633,55216,71094,20594,53201,30824,82868,93334,8676,18239,82281,739,25771,98859,80373,38920,6897,13603,64470,33346,38351,73726,76205,13518,72795,16102,40092,16591,884,41877,35822,18839,78902,86076
56800,80590,59747,68196,69542,80278,28006,69839,68329,58079,74452,73085,42127,91077,79838,35213,83417,37609,91806,28032,37519,77545,78648,83583,1188,34618,39397,27186,77171,16546,141,32465,36886,6103,10928,38600
95457,86105,77893,43406,65606,57639,30001,51614,69302,68106,1296,80560,15627,18118,91666,37328,91181,3406,22438,43279,37123,78238,83151,68560,50150,57857,74248,19013,76800,70584,98586,60496,51034,85733,89923,79391
32838,90932,92696,5185,68348,52315,51252,41469,35300,78233,31628,10161,87116,7689,59669,61176,43173,43508,80415,60287,4289,46200,92689,29076,18649,69641,88147,88444,76913,48586,4533,57639,5016,9344,21093,34425
